Feature,Importance
Director_Spike Lee,3.629181284368563e-06
Director_Jim Sheridan,3.4482876110991915e-06
"Genre_Drama, Horror, Sci-Fi",3.2975221927548256e-06
"Genre_Adventure, Comedy, Family",3.2260719480021504e-06
Director_Ron Clements,2.946463808541181e-06
"Genre_Animation, Biography, Crime",2.745380908811901e-06
"Genre_Comedy, Family, Fantasy",2.516091654921128e-06
"Genre_Action, Adventure, Romance",2.4998339330980393e-06
"Genre_Action, Adventure, History",2.0698930848031462e-06
Genre_Thriller,2.0619410046171277e-06
"Genre_Biography, Drama, Romance",1.378095397267023e-06
"Genre_Animation, Crime, Mystery",1.1120102476809208e-06
"Genre_Animation, Comedy, Fantasy",9.273640757995966e-07
"Genre_Action, Crime, Comedy",8.393890978660687e-07
"Genre_Comedy, Western",7.948834935461825e-07
"Genre_Drama, Film-Noir, Mystery",6.290840076924717e-07
"Genre_Horror, Thriller",5.646467762010658e-07
Director_Don Siegel,0.0
"Genre_Action, Adventure, Biography",0.0
Director_Pedro Almodóvar,0.0
"Genre_Drama, Romance, Thriller",0.0
"Genre_Drama, Thriller, Western",0.0
"Genre_Adventure, Comedy, Film-Noir",0.0
"Genre_Animation, Sci-Fi",0.0
"Genre_Adventure, Comedy, Crime",0.0
"Genre_Animation, Action, Fantasy",0.0
"Genre_Comedy, Family, Romance",0.0
Director_John Hughes,0.0
"Genre_Comedy, Mystery, Romance",0.0
"Genre_Crime, Drama, Horror",0.0
"Genre_Comedy, Musical, War",0.0
Director_James Whale,0.0
"Genre_Crime, Film-Noir, Thriller",0.0
"Genre_Drama, History, Music",0.0
